State	LogProb	m[0][0]	m[0][1]	m[0][2]	m[1][0]	m[1][1]	m[1][2]	m[2][0]	m[2][1]	m[2][2]	
1000	-55941.4	0.979311	0.00735326	0.0133357	0.0148968	0.984525	0.000578137	0.000168371	0.0342131	0.965619	
2000	-55842.2	0.961311	0.0386182	7.10088e-05	0.00766162	0.991335	0.00100339	0.00474064	0.00453361	0.990726	
3000	-55726.3	0.989859	0.00652998	0.00361145	0.00480128	0.988461	0.00673762	0.0213502	0.00191066	0.976739	
4000	-55591.4	0.983146	0.0109699	0.00588376	0.00730919	0.991124	0.00156693	0.0106205	0.00929218	0.980087	
5000	-55557	0.979642	0.00542493	0.0149333	0.00837464	0.969819	0.0218064	0.00137262	0.0300904	0.968537	
6000	-55449.5	0.998699	0.00116554	0.000134975	0.0233513	0.968978	0.00767106	0.0507108	0.032008	0.917281	
7000	-55346.3	0.988445	0.000903722	0.0106514	0.00847385	0.980682	0.0108446	0.0247378	0.0450889	0.930173	
8000	-55249.8	0.990852	0.00828546	0.000862837	0.00244369	0.993169	0.00438769	0.0865378	0.0077958	0.905666	
9000	-55174.5	0.987343	0.00930067	0.00335664	1.38732e-05	0.998564	0.00142178	0.0442291	0.0464237	0.909347	
10000	-55091.5	0.956296	0.0266923	0.0170122	0.00569684	0.993033	0.00127019	0.00202367	0.0416318	0.956345	
11000	-55024.4	0.996782	0.00319822	1.94073e-05	0.000276244	0.994587	0.00513653	0.0378684	0.0137291	0.948403	
12000	-54950.4	0.989641	0.0011384	0.00922061	0.00458894	0.975159	0.0202521	0.0255025	0.0330213	0.941476	
13000	-54913.6	0.980788	0.00409336	0.0151189	0.00734722	0.988807	0.00384616	0.0422202	0.00639685	0.951383	
14000	-54895.5	0.985372	0.000559782	0.014068	0.00662075	0.970949	0.0224303	0.00649257	0.0091252	0.984382	
15000	-54845.6	0.959898	0.0364155	0.00368671	0.00307608	0.9872	0.00972349	0.00810669	0.0137863	0.978107	
16000	-54808.5	0.985354	0.004074	0.0105723	0.00471078	0.995209	8.0445e-05	0.020421	0.0185027	0.961076	
17000	-54761.8	0.974314	0.0185029	0.00718327	0.000967648	0.98141	0.0176224	0.0173777	0.0192269	0.963395	
18000	-54698.4	0.980562	0.00548579	0.0139525	0.00382333	0.962452	0.0337251	0.0309767	0.106744	0.862279	
19000	-54647.1	0.997817	9.07687e-06	0.00217407	0.00437295	0.988123	0.00750438	0.00791801	0.0544	0.937682	
20000	-54608.7	0.981033	0.0164483	0.00251865	0.00651313	0.985751	0.0077357	0.0126658	0.00384053	0.983494	
21000	-54593.8	0.979331	0.0188281	0.00184142	0.000603207	0.995704	0.00369246	0.0587104	0.146106	0.795183	
22000	-54586.4	0.997823	0.000939752	0.00123701	0.00415578	0.993169	0.00267497	0.0630149	0.0160661	0.920919	
23000	-54532.6	0.989541	0.0100692	0.00039022	0.00185038	0.993521	0.00462883	0.0421075	0.0428673	0.915025	
24000	-54483	0.988508	0.00457845	0.00691387	0.00192523	0.984681	0.0133937	0.0208438	0.00551231	0.973644	
25000	-54459.2	0.97238	0.0166808	0.0109393	0.00786749	0.973286	0.0188467	0.0312566	0.0111253	0.957618	
26000	-54429.2	0.983503	0.0103385	0.00615802	0.00348494	0.990373	0.00614248	0.0189465	0.0652069	0.915847	
27000	-54388.2	0.976651	0.000690175	0.022659	0.0127366	0.981907	0.00535612	0.0344928	0.00315083	0.962356	
28000	-54396.7	0.976357	0.0215319	0.00211148	0.0320963	0.965157	0.00274623	0.0082924	0.0273599	0.964348	
29000	-54353.5	0.99285	0.00316979	0.00397981	0.00235167	0.991251	0.00639755	0.0227257	0.0135978	0.963676	
30000	-54311.1	0.987313	0.00398845	0.00869898	0.00124983	0.98159	0.0171606	0.00872752	0.00296233	0.98831	
